2Theta  counts
  0.750              1252
  2.250              5644
  3.750             10270
  5.250             12152
  6.750             16876
  8.250             20858
  9.750             26176
 11.250             31103
 12.750             34130
 14.250             38596
 15.750             42182
 17.250             48538
 18.750             52396
 20.250             58200
 21.750             53305
 23.250             59409
 24.750             64276
 26.250             60547
 27.750             64318
 29.250             73288
 30.750             74950
 32.250             72429
 33.750             70043
 35.250             60182
 36.750             67111
 38.250             61382
 39.750             59114
 41.250             51475
 42.750             49605
 44.250             49686
 45.750             47607
 47.250             43339
 48.750             43126
 50.250             40650
 51.750             39421
 53.250             42134
 54.750             40240
 56.250             40768
 57.750             37221
 59.250             43924
 60.750             41827
 62.250             38052
 63.750             37320
 65.250             37965
 66.750             37126
 68.250             34955
 69.750             35584
 71.250             37729
 72.750             35667
 74.250             36918
 75.750             34127
 77.250             35443
 78.750             35484
 80.250             32928
 81.750             34879
 83.250             32753
 84.750             33356
 86.250             34270
 87.750             32645
 89.250             32946
 90.750             30907
 92.250             31822
 93.750             30344
 95.250             31455
 96.750             30744
 98.250             29625
 99.750             30230
101.250             29830
102.750             28724
104.250             26985
105.750             29450
107.250             27793
108.750             26414
110.250             25518
111.750             25965
113.250             25063
114.750             24993
116.250             24139
117.750             24844
119.250             22874
120.750             22945
122.250             21939
123.750             21972
125.250             21828
126.750             19806
128.250             20274
129.750             19788
131.250             19878
132.750             17831
134.250             18075
135.750             16860
137.250             17023
138.750             15931
140.250             15882
141.750             15026
143.250             15498
144.750             12634
146.250             15035
147.750             13180
149.250             11504
150.750             12254
152.250             11398
153.750             10093
155.250             10672
156.750              9403
158.250              9349
159.750              7806
161.250              7582
162.750              7713
164.250              6259
165.750              4846
167.250              7299
168.750              4114
170.250              4398
171.750              2934
173.250              3092
174.750              2451
176.250              2411
177.750               933
179.250               903
180.000                 0
